address,borough_name,borough_abbrev,bin_number,block,lot,inspection_date,access_1,ecb_violation_number,dob_violation_number,longitude,latitude
149 2 AVENUE,Manhattan,MN,1006799,465,53,2013-03-08,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98743623,40.72954417
149 2 AVENUE,Manhattan,MN,1006799,465,53,2012-08-18,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98743623,40.72954417
149 2 AVENUE,Manhattan,MN,1006799,465,53,2016-12-16,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98743623,40.72954417
149 7 AVENUE,Brooklyn,BK,3024851,1069,6,2014-03-22,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.97652078,40.67251729
149 7 STREET,Brooklyn,BK,3021555,991,68,2014-03-21,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.99167592,40.67372988
149-05 UNION TURNPIKE,Queens,QN,4144787,6691,86,2014-08-15,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.81363034,40.71892709
149-05 UNION TURNPIKE,Queens,QN,4144787,6691,86,2014-02-01,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.81363034,40.71892709
149-05 UNION TURNPIKE,Queens,QN,4144787,6691,86,2012-09-16,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34955595L,,-73.81363034,40.71892709
149-15 JAMAICA AVENUE,Queens,QN,4206832,9679,86,2017-02-18,MARCH: NO PA PERMIT/ECB NOV ISSUED,35219305P,021817PANEAC05,-73.80514956,40.70224614
149-23 JAMAICA AVENUE,Queens,QN,4206828,9679,82,2017-02-18,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.80486061,40.70226458
149-23 JAMAICA AVENUE,Queens,QN,4206828,9679,82,2013-11-08,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.80486061,40.70226458
149-23 JAMAICA AVENUE,Queens,QN,4206828,9679,82,2016-04-03,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.80486061,40.70226458
1495 DEKALB AVENUE,Brooklyn,BK,3073627,3236,51,2015-10-24,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92207255,40.701774
1495 DEKALB AVENUE,Brooklyn,BK,3073627,3236,51,2014-05-09,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35091417J,051014CNEMR03,-73.92207255,40.701774
1495 DEKALB AVENUE,Brooklyn,BK,3073627,3236,51,2014-09-28,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92207255,40.701774
1495 DEKALB AVENUE,Brooklyn,BK,3073627,3236,51,2014-01-24,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35081284X,,-73.92207255,40.701774
15 1 AVENUE,Manhattan,MN,1006098,443,38,2013-12-12,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98861537,40.72354432
15 1 AVENUE,Manhattan,MN,1006098,443,38,2012-08-18,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34985204M,,-73.98861537,40.72354432
15 CORSON AVENUE,Staten Island,SI,5089359,18,73,2014-10-18,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.07945805,40.63836095
15 EAST 15 STREET,Manhattan,MN,1087180,843,7502,2014-11-07,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.99208067,40.73637024
15 PUTNAM AVENUE,Brooklyn,BK,3335048,1981,70,2012-12-21,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35006486Y,,-73.96201277,40.68286994
15 WEST 183 STREET,Bronx,BX,2112707,3197,17,2012-12-08,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,34925381Z,120812CNELA01,-73.90454165,40.85881823
150 VARICK STREET,Manhattan,MN,1007817,505,1,2014-02-23,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.00531978,40.72601441
150 VARICK STREET,Manhattan,MN,1007817,505,1,2012-09-29,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.00531978,40.72601441
150 VARICK STREET,Manhattan,MN,1007817,505,1,2013-11-10,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35030563Z,,-74.00531978,40.72601441
1506 ST NICHOLAS AVENUE,Manhattan,MN,1063779,2157,36,2016-10-28,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93146913,40.85185948
1506 ST NICHOLAS AVENUE,Manhattan,MN,1063779,2157,36,2017-06-17,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35245345Z,061717CERJM02,-73.93146913,40.85185948
1508 SAINT NICHOLAS AVENUE,Manhattan,MN,1063779,2157,36,2012-06-30,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93146913,40.85185948
151 AVENUE C,Manhattan,MN,1004776,392,35,2017-02-27,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35197049K,022517CNEJM03,-73.97803752,40.72565749
151 DYCKMAN STREET,Manhattan,MN,1064744,2220,1,2016-08-13,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35196887P,081316CNEAC01,-73.92553514,40.86345304
151 DYCKMAN STREET,Manhattan,MN,1064744,2220,1,2013-05-10,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92553514,40.86345304
151 DYCKMAN STREET,Manhattan,MN,1064744,2220,1,2013-01-12,MARCH: NO PA PERMIT/ECB NOV ISSUED,34925572L,01122013PAERDG02,-73.92553514,40.86345304
1511 WHITE PLAINS ROAD,Bronx,BX,2028682,3923,39,2012-07-14,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86391839,40.83806165
1511 WHITE PLAINS ROAD,Bronx,BX,2028682,3923,39,2013-01-26,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86391839,40.83806165
1513 MYRTLE AVENUE,Brooklyn,BK,3400854,3318,1,2014-01-24,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.9152271,40.69928594
1518 MACOMBS ROAD,Bronx,BX,2008420,2865,19,2015-10-31,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91720202,40.84346924
1518 MACOMBS ROAD,Bronx,BX,2008420,2865,19,2013-12-06,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91720202,40.84346924
1518 MACOMBS ROAD,Bronx,BX,2008420,2865,19,2014-11-22,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91720202,40.84346924
1518 MACOMBS ROAD,Bronx,BX,2008420,2865,19,2012-07-20,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,34985302X,,-73.91720202,40.84346924
1518 MACOMBS ROAD,Bronx,BX,2008420,2865,19,2013-01-04,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91720202,40.84346924
152 ORCHARD STREET,Manhattan,MN,1005343,411,4,2013-02-15,MARCH: NO PA PERMIT/ECB NOV ISSUED,35006422P,,-73.98864004,40.72071737
152 ORCHARD STREET,Manhattan,MN,1005343,411,4,2012-08-14,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98864004,40.72071737
152-34 ROCKAWAY BOULEVARD,Queens,QN,4263106,12125,31,2012-10-28,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,34995108L,,-73.78503053,40.67152749
152-34 ROCKAWAY BOULEVARD,Queens,QN,4263106,12125,31,2012-10-28,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,34995109N,,-73.78503053,40.67152749
153 LENOX AVENUE,Manhattan,MN,1084391,1902,35,2016-04-08,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.94919961,40.80330824
153-33 HILLSIDE AVENUE,Queens,QN,4207478,9706,52,2015-02-28,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.80321882,40.70785486
153-33 HILLSIDE AVENUE,Queens,QN,4207478,9706,52,2016-12-17,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.80321882,40.70785486
1530 UNIVERSITY AVENUE,Bronx,BX,2008785,2875,45,2016-01-31,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92145412,40.84579918
1530 UNIVERSITY AVENUE,Bronx,BX,2008785,2875,45,2016-07-17,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92145412,40.84579918
1536 MYRTLE AVENUE,Brooklyn,BK,3076496,3345,23,2017-05-19,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91202067,40.69924274
1536 RALPH AVENUE,Brooklyn,BK,3825171,7955,11,2012-06-15,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91971997,40.63943049
1538 WEBSTER AVENUE,Bronx,BX,2009395,2896,95,2016-04-29,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.9051973,40.83947416
1538 WEBSTER AVENUE,Bronx,BX,2009395,2896,95,2014-11-21,MARCH: NO PA PERMIT/ECB NOV ISSUED,35111866K,112114PAERDM01,-73.9051973,40.83947416
1538 WEBSTER AVENUE,Bronx,BX,2009395,2896,95,2013-08-10,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35025448N,,-73.9051973,40.83947416
154 EAST 112 STREET,Manhattan,MN,1086041,1639,49,2013-03-03,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.94323735,40.79570969
154 EAST 112 STREET,Manhattan,MN,1086041,1639,49,2012-10-07,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34995533M,,-73.94323735,40.79570969
154 MANSION AVENUE,Staten Island,SI,5066187,5207,39,2012-08-25,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.1406713,40.54399667
154 POST AVENUE,Manhattan,MN,1064789,2223,22,2014-07-25,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91885794,40.86536306
154 POST AVENUE,Manhattan,MN,1064789,2223,22,2013-01-11,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91885794,40.86536306
154 POST AVENUE,Manhattan,MN,1064789,2223,22,2015-02-27,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91885794,40.86536306
154 POST AVENUE,Manhattan,MN,1064789,2223,22,2014-01-25,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91885794,40.86536306
1541 MYRTLE AVENUE,Brooklyn,BK,3076173,3328,1,2015-10-23,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91378004,40.69948633
1541 MYRTLE AVENUE,Brooklyn,BK,3076173,3328,1,2016-05-14,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91378004,40.69948633
155 RIVINGTON STREET,Manhattan,MN,1004174,348,17,2012-08-14,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98564007,40.71903694
155 VARICK STREET,Manhattan,MN,1009744,579,68,2012-09-29,MARCH: NO PA PERMIT/ECB NOV ISSUED,34951745J,092812PAERFC01,-74.00603797,40.72618656
1552 MYRTLE AVENUE,Brooklyn,BK,3822280,3345,30,2015-09-22,STOP WORK ORDER FULLY RESCINDED N,,,-73.91158029,40.69934134
1552 MYRTLE AVENUE,Brooklyn,BK,3822280,3345,30,2013-09-20,STOP WORK ORDER FULLY RESCINDED N,,,-73.91158029,40.69934134
1552 MYRTLE AVENUE,Brooklyn,BK,3822280,3345,30,2013-09-20,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35022563Z,,-73.91158029,40.69934134
1556 RALPH AVENUE,Brooklyn,BK,3222404,7955,17,2012-06-16,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91962313,40.63851149
1556 RALPH AVENUE,Brooklyn,BK,3222404,7955,17,2016-03-26,MARCH: NO PA PERMIT/ECB NOV ISSUED,35168223Y,032616CPAER01,-73.91962313,40.63851149
158 LUDLOW STREET,Manhattan,MN,1079699,411,50,2014-09-19,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98765584,40.72093887
158 NORMAN AVENUE,Brooklyn,BK,3066258,2651,3,2014-02-22,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.94799418,40.7264655
158 NORMAN AVENUE,Brooklyn,BK,3066258,2651,3,2014-02-21,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.94799418,40.7264655
1583 2 AVENUE,Manhattan,MN,1048656,1528,21,2013-03-15,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95379688,40.77548153
1584 2 AVENUE,Manhattan,MN,1049872,1545,1,2012-09-22,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95324542,40.77525758
159 EAST HOUSTON STREET,Manhattan,MN,1005542,417,18,2013-10-04,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35065302K,,-73.98908624,40.72273951
159 EAST HOUSTON STREET,Manhattan,MN,1005542,417,18,2013-10-04,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35022569J,,-73.98908624,40.72273951
159 EAST HOUSTON STREET,Manhattan,MN,1005542,417,18,2013-05-03,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35015583K,050313CNER01,-73.98908624,40.72273951
159 EAST HOUSTON STREET,Manhattan,MN,1005542,417,18,2013-05-03,MARCH: NO PA PERMIT/ECB NOV ISSUED,35015584M,050313PANEJM01,-73.98908624,40.72273951
1590 WESTCHESTER AVENUE,Bronx,BX,2023991,3743,45,2014-01-03,MARCH: NO PA PERMIT/ECB NOV ISSUED,35081011K,010314CNETM01,-73.87571257,40.82888553
1590 WESTCHESTER AVENUE,Bronx,BX,2023991,3743,45,2014-01-03,MARCH: NO PA PERMIT/ECB NOV ISSUED,35081185K,010314CNETM01,-73.87571257,40.82888553
1591 2 AVENUE,Manhattan,MN,1048660,1528,25,2013-03-15,MARCH: NO PA PERMIT/ECB NOV ISSUED,35015053N,,-73.95368599,40.77576979
1591 2 AVENUE,Manhattan,MN,1048660,1528,25,2013-03-15,MARCH: NO PA PERMIT/ECB NOV ISSUED,35010676R,,-73.95368599,40.77576979
16 1 AVENUE,Manhattan,MN,1005731,429,4,2014-04-11,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98797277,40.72338263
16 1 AVENUE,Manhattan,MN,1005731,429,4,2012-12-15,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98797277,40.72338263
16-11 CENTRAL AVENUE,Queens,QN,4298241,15559,40,2013-04-23,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.75196055,40.60486112
16-33 WOODBINE STREET,Queens,QN,4082327,3445,1,2015-10-16,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35160636X,101615CEJM02,-73.90974292,40.69988534
160 PRINCE STREET,Manhattan,MN,1084916,502,16,2013-02-22,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.00150534,40.72590052
160 SCOTT AVENUE,Brooklyn,BK,3070579,2979,5,2013-12-31,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92279586,40.7123849
1609 NOSTRAND AVENUE,Brooklyn,BK,3110367,4915,1,2014-01-17,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35081087R,011714CERFC01,-73.94882335,40.64677979
161 LUDLOW STREET,Manhattan,MN,1005409,412,35,2013-05-31,MARCH: NO PA PERMIT/ECB NOV ISSUED,35022286J,,-73.98789211,40.72145095
161 LUDLOW STREET,Manhattan,MN,1005409,412,35,2015-10-09,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98789211,40.72145095
161 LUDLOW STREET,Manhattan,MN,1005409,412,35,2015-03-13,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98789211,40.72145095
1616 CASTLETON AVENUE,Staten Island,SI,5025490,1082,33,2014-08-15,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35103229H,,-74.13714643,40.6358726
1616 CASTLETON AVENUE,Staten Island,SI,5025490,1082,33,2014-08-15,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35103228X,,-74.13714643,40.6358726
162 EAST 102 STREET,Manhattan,MN,1051851,1629,47,2016-04-22,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.94770596,40.78925286
1625 EAST 233 STREET,Bronx,BX,2067184,4973,2,2013-11-23,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.82827769,40.88901736
163 DONGAN STREET,Staten Island,SI,5142567,212,33,2012-08-17,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.12393728,40.63375993
1634 NOSTRAND AVENUE,Brooklyn,BK,3118091,5140,18,2014-01-17,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.94939642,40.6461507
1641 2 AVENUE,Manhattan,MN,1048768,1531,21,2012-09-22,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95244004,40.77740946
1647 PACIFIC STREET,Brooklyn,BK,3337879,1334,37,2015-01-24,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93605636,40.67710193
1647 PACIFIC STREET,Brooklyn,BK,3337879,1334,37,2015-06-13,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93605636,40.67710193
1647 PACIFIC STREET,Brooklyn,BK,3337879,1334,37,2014-10-04,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93605636,40.67710193
1647 PACIFIC STREET,Brooklyn,BK,3337879,1334,37,2015-09-12,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93605636,40.67710193
1647 PACIFIC STREET,Brooklyn,BK,3337879,1334,37,2015-10-02,COMPLAINT UNSUBSTANTIATED BASED ON DEPARTMENT RECORDS,,,-73.93605636,40.67710193
1647 PACIFIC STREET,Brooklyn,BK,3337879,1334,37,2015-01-25,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93605636,40.67710193
165 LUDLOW STREET,Manhattan,MN,1005407,412,33,2012-08-11,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,34985177X,081012CERLP01,-73.98784671,40.72158705
165 WEST 26 STREET,Manhattan,MN,1015033,802,6,2012-12-02,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35006500L,,-73.99358243,40.74595819
165 WEST 26 STREET,Manhattan,MN,1015033,802,6,2012-12-02,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35000252Y,,-73.99358243,40.74595819
1650 3 AVENUE,Manhattan,MN,1048353,1521,34,2013-03-15,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95134345,40.7829851
166 NORTH 7 STREET,Brooklyn,BK,3062094,2328,8,2013-09-15,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95760385,40.71760101
167-02 BAISLEY BOULEVARD,Queens,QN,4270044,12495,45,2013-03-23,ADMINISTRATIVE CLOSURE NN,,,-73.77592757,40.67965443
167-02 BAISLEY BOULEVARD,Queens,QN,4270044,12495,45,2015-02-28,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.77592757,40.67965443
1674 RICHMOND ROAD,Staten Island,SI,5050604,3531,9,2014-03-29,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.10148201,40.58887486
1679 HYLAN BOULEVARD,Staten Island,SI,5157687,3340,96,2015-08-08,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.09129512,40.58786006
168-02 HILLSIDE AVENUE,Queens,QN,4210127,9821,6,2013-01-18,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.7943557,40.7099003
168-02 HILLSIDE AVENUE,Queens,QN,4210127,9821,6,2015-06-27,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.7943557,40.7099003
168-02 HILLSIDE AVENUE,Queens,QN,4210127,9821,6,2014-09-14,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.7943557,40.7099003
1683 MADISON STREET,Queens,QN,4082424,3450,43,2014-04-05,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.90767743,40.70084574
169 EAST BROADWAY,Manhattan,MN,1003625,284,26,2015-10-09,MARCH: NO PA PERMIT/ECB NOV ISSUED,35161197H,100915CNERWS02,-73.98975572,40.71384759
169 EAST BROADWAY,Manhattan,MN,1003625,284,26,2015-10-09,MARCH: NO PA PERMIT/ECB NOV ISSUED,35161197H,100915CNERWS03,-73.98975572,40.71384759
169 EAST BROADWAY,Manhattan,MN,1003625,284,26,2016-05-22,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98975572,40.71384759
169 EAST BROADWAY,Manhattan,MN,1003625,284,26,2015-10-09,MARCH: NO PA PERMIT/ECB NOV ISSUED,35161196X,100915CNERWS02,-73.98975572,40.71384759
169 EAST BROADWAY,Manhattan,MN,1003625,284,26,2015-10-09,MARCH: NO PA PERMIT/ECB NOV ISSUED,35161196X,100915CNERWS03,-73.98975572,40.71384759
1693 AMSTERDAM AVENUE,Manhattan,MN,1061299,2059,31,2017-03-11,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35219803H,031117CNETV01,-73.94803144,40.82428721
17 EAST TREMONT AVENUE,Bronx,BX,2008266,2854,24,2016-01-30,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.90837734,40.85160409
17 WILLIAMS AVENUE,Brooklyn,BK,3083235,3666,5,2014-01-31,MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED,35080833P,"020114CERFC01,",-73.90049168,40.67610938
17 WILLIAMS AVENUE,Brooklyn,BK,3083235,3666,5,2014-01-31,MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED,35081095R,"020114CERFC01,",-73.90049168,40.67610938
17 WILLIAMS AVENUE,Brooklyn,BK,3083235,3666,5,2016-03-12,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35168790K,031216CNEJM04,-73.90049168,40.67610938
17 WILLIAMS AVENUE,Brooklyn,BK,3083235,3666,5,2014-07-18,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35095719N,071914CNEAC02/03,-73.90049168,40.67610938
17 WILLIAMS AVENUE,Brooklyn,BK,3083235,3666,5,2014-07-18,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35095718L,071914CNEAC02/03,-73.90049168,40.67610938
170 WEST 233 STREET,Bronx,BX,2016171,3267,110,2014-05-16,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.90322393,40.88002486
170-03 JAMAICA AVENUE,Queens,QN,4209741,9804,10,2013-11-08,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.78962445,40.70747459
170-13 JAMAICA AVENUE,Queens,QN,4209739,9804,7,2012-06-09,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34955440R,,-73.78938899,40.70754844
170-13 JAMAICA AVENUE,Queens,QN,4209739,9804,7,2013-04-27,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.78938899,40.70754844
1702 2 AVENUE,Manhattan,MN,1050066,1551,2,2012-09-22,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,34985575L,092212PAERAC02,-73.95036633,40.779214
171 BROAD STREET,Staten Island,SI,5014044,541,1,2014-10-18,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.08057155,40.62454679
171 BROAD STREET,Staten Island,SI,5014044,541,1,2014-06-14,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.08057155,40.62454679
1710 UNIVERSITY AVENUE,Bronx,BX,2008833,2876,102,2014-05-11,MARCH: NO PA PERMIT/ECB NOV ISSUED,35095617M,05114PANEJM01,-73.91778647,40.84831581
1712 UNIVERSITY AVENUE,Bronx,BX,2008833,2876,102,2012-09-23,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91778647,40.84831581
172 EAST 106 STREET,Manhattan,MN,1052007,1633,41,2016-04-23,ADMINISTRATIVE CLOSURE NN,,,-73.94540238,40.79156517
172 EAST 106 STREET,Manhattan,MN,1052007,1633,41,2013-03-03,MARCH: NO PA PERMIT/ECB NOV ISSUED,34995195Z,,-73.94540238,40.79156517
172 EAST 106 STREET,Manhattan,MN,1052007,1633,41,2014-03-07,MARCH: NO PA PERMIT/ECB NOV ISSUED,35090755H,030714PANEDG01/02,-73.94540238,40.79156517
172 EAST 106 STREET,Manhattan,MN,1052007,1633,41,2014-03-07,MARCH: NO PA PERMIT/ECB NOV ISSUED,35090756J,030714PANEDG01/02,-73.94540238,40.79156517
172 EAST 106 STREET,Manhattan,MN,1052007,1633,41,2016-04-23,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35180310Y,"042316PAERDM01,02,CERDM3",-73.94540238,40.79156517
172 EAST 106 STREET,Manhattan,MN,1052007,1633,41,2016-04-23,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35180311X,"042316PAERDM01,02,CERDM3",-73.94540238,40.79156517
172 EAST 106 STREET,Manhattan,MN,1052007,1633,41,2016-04-23,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35180309R,"042316PAERDM01,02,CERDM3",-73.94540238,40.79156517
172-11 HILLSIDE AVENUE,Queens,QN,4210594,9844,110,2015-02-28,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.78976819,40.71225172
172-11 HILLSIDE AVENUE,Queens,QN,4210594,9844,110,2014-02-28,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.78976819,40.71225172
172-32 JAMAICA AVENUE,Queens,QN,4217514,10213,14,2013-11-08,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35030463L,,-73.78683786,40.70760986
172-32 JAMAICA AVENUE,Queens,QN,4217514,10213,14,2013-01-18,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.78683786,40.70760986
172-37 HILLSIDE AVENUE,Queens,QN,4210593,9844,101,2012-09-16,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.78920336,40.71236798
172-37 HILLSIDE AVENUE,Queens,QN,4210593,9844,101,2013-08-09,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.78920336,40.71236798
172-37 HILLSIDE AVENUE,Queens,QN,4210593,9844,101,2014-03-01,MARCH: NO PA PERMIT/ECB NOV ISSUED,35090900P,,-73.78920336,40.71236798
172-37 HILLSIDE AVENUE,Queens,QN,4210593,9844,101,2014-08-15,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.78920336,40.71236798
1729 CROSBY AVENUE,Bronx,BX,2046099,4169,26,2015-06-04,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.83194257,40.8460638
173-06 JAMAICA AVENUE,Queens,QN,4217536,10214,3,2017-02-17,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.78638316,40.70769755
173-12 JAMAICA AVENUE,Queens,QN,4217539,10214,6,2013-04-27,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.78615326,40.70768802
1734 NOSTRAND AVENUE,Brooklyn,BK,3119230,5173,32,2013-05-04,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.94913096,40.64372293
1734 NOSTRAND AVENUE,Brooklyn,BK,3119230,5173,32,2013-02-15,MARCH: NO PA PERMIT/ECB NOV ISSUED,35006507Y,,-73.94913096,40.64372293
1735 EAST 172 STREET,Bronx,BX,2027726,3873,1,2014-01-03,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86978119,40.83273218
174 AUDOBON AVENUE,Manhattan,MN,1063123,2130,17,2013-04-26,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93600291,40.84410005
174 AUDUBON AVENUE,Manhattan,MN,1063123,2130,17,2014-05-16,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93600291,40.84410005
